Local.Label.y,Rownames,Group,Sand,Clay,Loam,C_percent,N_percent,C_N,P2O5,K2O,CaO,MgO,Na,K,Ca,Mg,Total_Cations,CEC,Base_sat,NH4_N_mg,NO3_N_mg,P_Olsen,P_CitAcExt,pH_H2O,pH_KCl
CAC_07,CAC07,Diversification,38,27,35,0.83,0.1,8,11.64,31.52,140.78,46.32,0.09,0.2,3.64,2.26,6.19,9.23,67.06,56.05,22.32,27.1,17.6,6.8,6.7
CAC_11,CAC11,Diversification,38,27,35,0.69,0.06,12,11.95,30.38,87.5,26.93,0.09,0.2,2.67,1.55,4.51,8.5,53.06,28.67,34.84,,11,6.4,5.7
CAC_15,CAC15,Diversification,46,24,30,1.17,0.12,10,13.05,27.39,113.79,45.32,0.09,0.19,3.89,2.1,6.27,8.81,71.17,48.31,21.42,20.6,15.2,6.9,6.7
CAC_28,CAC28,Diversification,50,25,25,1.45,0.17,9,18.11,37.05,83.35,43.65,0.09,0.22,4,2.24,6.55,9.74,67.25,32.55,48.47,46.7,61.6,6.9,6.6
CAC_31,CAC31,Diversification,47,25,28,1.19,0.19,6,13.92,29.62,113.36,51.33,0.09,0.12,3.67,2.19,6.07,8.16,74.39,48.59,24.18,33.8,48,6.9,6.9
CAC_32,CAC32,Diversification,47,27,26,0.82,0.09,9,13.61,32.08,116.54,56.15,0.08,0.36,4.1,1.89,6.43,8.8,73.07,65.03,33.74,3.1,15,7.1,7
CAC_35,CAC35,Diversification,47,30,23,0.95,0.08,12,15.09,24.79,85.52,34.88,0.08,0.21,2.13,1.52,3.94,8.98,43.88,29.17,24.19,,8,6.4,5.6
CAC_39,CAC39,Diversification,44,27,28,1.22,0.15,8,23.24,22.15,142.22,51.03,0.09,0.15,3.37,2.01,5.62,8.33,67.47,37.58,90.15,45,8.7,7,6.9
CAC_41,CAC41,Diversification,39,32,29,0.99,0.1,10,17.1,26.96,146.95,70.38,0.09,0.17,4.39,1.99,6.64,10.07,65.94,32.28,16.85,3.9,22.3,7.1,7
CAC_42,CAC42,Diversification,39,32,29,1.22,0.13,9,45.26,36.27,140.82,46.05,0.09,0.21,4.86,2.16,7.32,8.77,83.47,38.18,26.56,28.6,10.1,6.8,6.7
CAC_46,CAC46,Diversification,34,35,31,0.96,0.1,10,13.84,28.67,120.2,79.64,0.04,0.18,4.51,2.25,6.98,8.76,79.68,17.11,62.49,8.1,15.4,7.1,7.1
CAC_50,CAC50,Diversification,36,35,29,0.84,0.08,11,10.89,30.28,119.89,55.49,0.07,0.29,4.17,2.24,6.77,8.36,80.98,35.25,43.65,4.4,6.8,7.2,7
CAC_78,CAC78,Diversification,50,23,27,1.11,0.11,10,16.05,26.21,111.28,47.78,0.06,0.16,3.93,2.14,6.29,8.42,74.7,37.77,54.59,46.5,18.2,6.9,6.6
CAC_81,CAC81,Diversification,51,29,20,1.18,0.12,10,18.59,25.33,125.65,56.08,0.05,0.31,5.23,2.71,8.3,9.72,85.39,29.5,54.48,57.4,53.9,6.9,6.6
CAC_82,CAC82,Diversification,46,26,28,1.3,0.13,10,25.36,29.47,204.86,78.34,0.06,0.14,4.1,1.99,6.29,7.86,80.03,42.43,51.67,124.3,312,7.2,7.2
CAC_87,CAC87,Diversification,50,26,24,1.27,0.11,12,15.18,16.75,152.6,67.86,0.06,0.23,4.32,2.58,7.19,7.53,95.48,37.76,51.05,56.4,403.1,7.1,7
CAC_91,CAC91,Diversification,46,29,25,1.21,0.1,12,17.68,13.42,206.72,61.65,0.05,0.17,4.33,2.38,6.93,8.2,84.51,32.74,43.18,40.2,38.4,7,6.9
CAC_94,CAC94,Diversification,43,30,27,1.06,0.11,10,16.71,16.1,140.49,54.35,0.06,0.21,3.37,2.11,5.75,9.33,61.63,64.15,49.65,50.4,20,7,6.9
CAC_99,CAC99,Diversification,42,29,29,0.91,0.13,7,16.06,26.78,229.71,119.4,0.06,0.37,3.73,2.24,6.4,7.96,80.4,30.83,83.47,52.9,80.9,7.2,7.1
CAC_103,CAC103,Diversification,48,33,19,0.99,0.12,8,12.22,22.1,134.14,59.58,0.06,0.31,5.16,2.37,7.9,8.71,90.7,33.21,24.67,6.7,23.3,7.2,6.9
CAC_106,CAC106,Diversification,43,35,22,1.06,0.11,10,41,52.82,66.02,108.32,0.18,0.31,3.22,2.92,6.63,10.81,61.33,34.5,56.16,25.1,74,6.9,6.8
CAC_112,CAC112,Diversification,44,33,23,0.98,0.12,8,45.81,33.72,91.28,107.55,0.17,0.28,2.92,2.2,5.57,8.2,67.93,30.36,26.32,16.4,32.2,6.9,6.7
CAC_116,CAC116,Diversification,39,35,25,0.84,0.15,6,46.83,35.57,83.5,86.09,0.17,0.34,3.19,2.7,6.4,10.59,60.43,22.03,83.4,19.4,46.3,6.8,6.3
CAC_118,CAC118,Diversification,48,35,17,1.16,0.16,7,45.46,43.14,135.63,118.04,0.17,0.26,4.32,3.15,7.9,9.18,86.06,40.2,54.24,17.1,42.4,7.1,6.8
CAC_131,CAC131,Diversification,49,28,23,1.11,0.15,7,74.8,31.13,129.37,126.9,0.16,0.35,4.65,3.16,8.32,11.74,70.87,22.03,40.03,44.2,233.1,7.1,6.9
CAC_134,CAC134,Diversification,44,35,21,1.2,0.16,8,89.49,39.57,93.73,108.74,0.16,0.29,3.5,2.96,6.91,8.06,85.73,36.98,19.67,60.4,169.4,7.1,6.8
CAC_137,CAC137,Diversification,46,30,24,1.09,0.15,7,80.35,46.7,99.18,109.91,0.17,0.53,3.78,3,7.48,10.45,71.58,31.19,47.98,31.1,115.5,7,6.7
CAC_151,CAC151,Diversification,42,34,24,0.85,0.14,6,50.6,40.14,92.95,98.81,0.17,0.36,2.59,2.9,6.02,8.09,74.41,45.7,25.71,6.7,41,6.8,6.4
CAC_153,CAC153,Diversification,44,37,19,1.22,0.15,8,65.49,43.93,120.04,110.28,0.16,0.67,3.95,2.13,6.91,9.91,69.73,24.78,69.35,32.7,87.9,7.2,6.8
CAC_154,CAC154,Diversification,43,35,22,1.04,0.15,7,56.77,33.44,43.55,63.19,0.16,0.36,1.58,1.9,4,6.75,59.26,46.28,54.82,,28.9,6.4,5.6
CAC_158,CAC158,Diversification,43,31,26,0.97,0.12,8,48.46,34.59,65.86,62.94,0.17,0.47,2.54,2.54,5.72,8.27,69.17,24.9,98.9,24.6,37,6.9,6.5
CAC_162,CAC162,Diversification,44,32,24,0.02,0.12,0,71.4,57.46,323.01,118.48,0.19,0.31,3.72,2.74,6.96,8,87,91.57,59.78,42.6,99.1,7.2,6.8
CAC_163,CAC163,Diversification,53,16,31,1.36,0.13,10,85.92,35.42,172.82,174.33,0.18,0.28,4.75,3.39,8.6,8.72,98.62,21.98,96.7,63.8,281.4,7.1,6.9
CAC_166,CAC166,Diversification,46,32,22,1.53,0.16,10,72.01,56.83,129.39,118.54,0.17,0.21,3.74,2.84,6.96,8.9,78.2,23.7,25.59,26.3,132.3,7.1,6.6
CAC_170,CAC170,Diversification,51,28,21,1.04,0.15,7,82.29,28.78,181.39,103.5,0.16,0.2,4.3,3.7,8.36,8.54,97.89,15.89,104.37,16.4,99.4,7.2,6.9
CAC_176,CAC176,Diversification,46,28,26,1.18,0.16,7,98.78,34.55,63,69.1,0.2,0.21,3.57,2.46,6.44,10.06,64.02,21.24,104.06,58.3,406.7,6.9,6.3
CAC_200,CAC200,Diversification,35,27,38,1.09,0.15,7,36.46,30.86,91.99,90.04,0.17,0.23,2.09,2.27,4.76,8.75,54.4,95.01,75.3,12.9,24.9,6.6,6
CAC_205,CAC205,Diversification,31,32,37,0.61,0.1,6,52.98,26.13,108.97,102.45,0.17,0.59,2.32,2.32,5.4,8.95,60.34,80.34,24.39,26.6,22.1,6.8,6.1
CAC_206,CAC206,Diversification,38,26,36,0.81,0.1,8,40.94,52.3,126.66,24.07,0.18,0.63,2.65,2.61,6.07,9.17,66.19,26.96,112.38,5.7,27.6,6.9,6.5
CAC_211,CAC211,Diversification,32,30,38,0.93,0.06,16,47.1,53.68,101.15,49.03,0.17,0.47,2.98,2.89,6.51,9.61,67.74,41.27,22.66,11.9,9.1,7,6.6
CAC_215,CAC215,Diversification,40,30,30,1.05,0.13,8,57.1,35.17,128.52,96.02,0.08,0.26,3.82,2.08,6.24,11.27,55.37,23.12,55.29,17.8,83.9,7.1,6.7
CAC_218,CAC218,Diversification,32,29,39,1.1,0.23,5,54.39,41.99,173.47,116.26,0.08,0.27,4.46,2.5,7.31,7.74,94.44,14.5,29.25,18.3,44.1,7.2,7
CAC_223,CAC223,Diversification,35,28,37,1.32,0.24,6,63.43,39.64,139.53,99.07,0.07,0.33,4.63,2.42,7.45,13.08,56.96,24.19,60.48,18.8,149.1,7.1,6.8
CAC_227,CAC227,Diversification,39,27,34,1.43,0.17,8,57.42,28.63,170.68,116.97,0.07,0.15,5.45,2.36,8.03,12.29,65.34,51.13,28.19,19.9,115.5,7.3,6.9
CAC_231,CAC231,Diversification,42,27,31,1.13,0.17,7,33.98,14.12,176.26,118.54,0.07,0.18,4.77,2.54,7.56,8.65,87.4,59.85,91.59,159.4,34,7.4,7.1
CAC_239,CAC239,Diversification,32,32,36,1.19,0.13,9,121.2,14.6,167.68,118.6,0.08,0.23,4.85,2.22,7.38,8.78,84.05,25.87,15.9,118.6,602.1,7.2,6.9
CAC_244,CAC244,Diversification,36,35,29,0.86,0.12,7,22.71,23.76,58.32,50.07,0.08,0.39,2.84,1.57,4.88,8.93,54.65,18.53,39.13,44.6,19,6.8,6.2
CAC_247,CAC247,Diversification,35,30,35,0.78,0.12,7,36.51,36.33,48.65,48.06,0.08,0.3,2.56,1.57,4.51,9.63,46.83,18.69,18.45,,4.3,6.4,5.7
Control_02,C-02A,Monoculture,33,38,29,1.79,0.24,7,42.87,40.31,21.85,20.93,0.08,0.14,1.73,0.79,2.74,13.28,20.63,23.6,33.61,,28,4.9,3.9
Control_05,C-05A,Monoculture,39,31,30,1.69,0.25,7,39.33,10.64,32.81,34.63,0.08,0.22,2.91,1.07,4.28,11.55,37.06,65.15,35.9,,60.5,5.5,4.5
Control_06,C-06A,Monoculture,47,30,23,1.59,0.2,8,35.44,11.38,22.51,27.85,0.09,0.22,2.29,0.96,3.56,10.32,34.5,37.9,93.43,,13.5,5.4,4.4
Control_08,C-08A,Monoculture,36,35,29,1.62,0.18,9,32.66,10.36,17.5,20.51,0.1,0.15,1.62,0.75,2.62,9.3,28.17,70.79,30.51,,4,5,3.9
Control_10,C-10A,Monoculture,50,24,26,1.44,0.18,8,29.02,10.83,22.85,20.22,0.1,0.21,1.73,0.46,2.5,10.11,24.73,28.49,93.06,,12.1,5.1,4
Control_12,C-12A,Monoculture,44,31,25,1.7,0.19,9,30.63,12.56,14.29,15.53,0.09,0.17,1.57,0.63,2.46,11.59,21.23,106.87,25.3,,29,5,4
Control_14,C-14A,Monoculture,42,32,26,1.54,0.18,9,36.52,2.52,38.98,35.17,0.1,0.2,2.92,1.45,4.67,9.61,48.6,33.41,66.11,,40,5.6,4.9
Control_16,C-16A,Monoculture,39,36,25,1.46,0.19,8,41.99,8.81,34.77,16.52,0.08,0.13,2.23,0.94,3.38,11.02,30.67,56.19,17.14,,21.8,5.3,4.2
Control_18,C-18A,Monoculture,37,40,23,1.31,0.17,8,38.47,15.96,18.43,16.45,0.08,0.21,1.31,0.62,2.22,9.44,23.52,37.57,54.69,,72.1,4.8,3.9
Control_20,C-20A,Monoculture,39,32,29,1.53,0.18,9,38.51,20.86,42.37,31.36,0.09,0.1,2.58,1.1,3.87,10.53,36.75,58.32,20.39,,14.3,5.4,4.5
