ID,Local Label,Nearest_shade,Shade_species,Shade_Longitude,Shade_Latitude
SOIL 01,CAC_07,,None,,
SOIL 02,CAC_10,,None,,
SOIL 33,CAC_101,S3,Sengon,120.80545900000,-2.55265800000
SOIL 34,CAC_103,S3,Sengon,120.80545900000,-2.55265800000
SOIL 35,CAC_106,RT03,Red Teak,120.80533700000,-2.55270300000
SOIL 03,CAC_11,,None,,
SOIL 36,CAC_112,PY,Papaya,,
SOIL 37,CAC_115,PY,Papaya,,
SOIL 38,CAC_116,B,Banana,,
SOIL 39,CAC_118,B,Banana,,
SOIL 40,CAC_121,B,Banana,,
SOIL 41,CAC_131,PY,Papaya,,
SOIL 42,CAC_134,B,Banana,,
SOIL 43,CAC_135,PY,Papaya,,
SOIL 44,CAC_137,PY,Papaya,,
SOIL 45,CAC_140,B,Banana,,
SOIL 46,CAC_144,PY,Papaya,,
SOIL 04,CAC_15,,None,,
SOIL 47,CAC_151,,None,,
SOIL 48,CAC_153,B,Banana,,
SOIL 49,CAC_154,,None,,
SOIL 50,CAC_156,S6,Sengon,120.80553800000,-2.55295200000
SOIL 51,CAC_158,S6,Sengon,120.80553800000,-2.55295200000
SOIL 52,CAC_160,S6,Sengon,120.80553800000,-2.55295200000
SOIL 53,CAC_162,S6,Sengon,120.80553800000,-2.55295200000
SOIL 54,CAC_163,B,Banana,,
SOIL 55,CAC_166,S5,Sengon,120.80541000000,-2.55295700000
SOIL 56,CAC_168,S5,Sengon,120.80541000000,-2.55295700000
SOIL 57,CAC_170,S5,Sengon,120.80541000000,-2.55295700000
SOIL 58,CAC_172,S5,Sengon,120.80541000000,-2.55295700000
SOIL 59,CAC_176,RT6,Red Teak,120.80533200000,-2.55287200000
SOIL 05,CAC_18,B,Banana,,
SOIL 60,CAC_181,,None,,
SOIL 61,CAC_188,,None,,
SOIL 62,CAC_196,B,Banana,,
SOIL 63,CAC_200,,None,,
SOIL 64,CAC_205,,None,,
SOIL 65,CAC_206,B,Banana,,
SOIL 66,CAC_209,S8,Sengon,120.80555700000,-2.55309600000
SOIL 67,CAC_211,S8,Sengon,120.80555700000,-2.55309600000
SOIL 68,CAC_213,S8,Sengon,120.80555700000,-2.55309600000
SOIL 69,CAC_215,S8,Sengon,120.80555700000,-2.55309600000
SOIL 70,CAC_218,B,Banana,,
SOIL 06,CAC_22,H,Hibiscus,,
SOIL 71,CAC_221,S07,Sengon,120.80542700000,-2.55310400000
SOIL 72,CAC_223,S07,Sengon,120.80542700000,-2.55310400000
SOIL 73,CAC_225,S07,Sengon,120.80542700000,-2.55310400000
SOIL 74,CAC_227,S07,Sengon,120.80542700000,-2.55310400000
SOIL 75,CAC_231,RT08,Red Teak,120.80531400000,-2.55314700000
SOIL 76,CAC_239,,None,,
SOIL 77,CAC_243,B,Banana,,
SOIL 78,CAC_244,B,Banana,,
SOIL 79,CAC_247,,None,,
SOIL 80,CAC_250,B,Banana,,
SOIL 07,CAC_28,,None,,
SOIL 08,CAC_31,,None,,
SOIL 09,CAC_32,B,Banana,,
SOIL 10,CAC_34,S02,Sengon,120.80556700000,-2.55253600000
SOIL 11,CAC_35,S02,Sengon,120.80556700000,-2.55253600000
SOIL 12,CAC_37,S02,Sengon,120.80556700000,-2.55253600000
SOIL 13,CAC_39,S02,Sengon,120.80556700000,-2.55253600000
SOIL 14,CAC_41,B,Banana,,
SOIL 15,CAC_42,,None,,
SOIL 16,CAC_44,,None,,
SOIL 17,CAC_46,S01,Sengon,120.80543900000,-2.55250800000
SOIL 18,CAC_48,S01,Sengon,120.80543900000,-2.55250800000
SOIL 19,CAC_50,RT01,Red Teak,120.80536300000,-2.55249500000
SOIL 20,CAC_57,,None,,
SOIL 21,CAC_64,,None,,
SOIL 22,CAC_75,,None,,
SOIL 23,CAC_78,H,Hibiscus,,
SOIL 24,CAC_81,,None,,
SOIL 25,CAC_82,,Banana,,
SOIL 26,CAC_85,S04,Sengon,120.80557200000,-2.55263400000
SOIL 27,CAC_87,S04,Sengon,120.80557200000,-2.55263400000
SOIL 28,CAC_89,S04,Sengon,120.80557200000,-2.55263400000
SOIL 29,CAC_91,S04,Sengon,120.80557200000,-2.55263400000
SOIL 30,CAC_94,B,Banana,,
SOIL 31,CAC_97,S03,Sengon,120.80545900000,-2.55265800000
SOIL 32,CAC_99,S03,Sengon,120.80545900000,-2.55265800000
